"Name","Date"
".\Bugs\Open\2NTwithWeakDoubleton.brd","2009/04/20 20:15:00"
".\Bugs\Open\4thSuitForcingProblem1.brd","2010/08/31 17:56:36"
".\Bugs\Open\Abend-2_AutoSave.brd","2009/07/08 14:48:24"
".\Bugs\Open\Abend_09_22_09_AutoSave.brd","2009/09/22 12:39:08"
".\Bugs\Open\Abend_10_11_09_AutoSave.brd","2009/10/11 16:54:50"
".\Bugs\Open\Abend_10_15_09_AutoSave.brd","2009/10/15 21:01:10"
".\Bugs\Open\Abend_11_14_09AutoSave.brd","2009/11/14 18:11:50"
".\Bugs\Open\Abend_7-8-09_EasyToRecreate.brd","2009/07/08 12:59:04"
".\Bugs\Open\Abend_8-18-09.brd","2009/08/18 11:28:34"
".\Bugs\Open\AccessProblem1.brd","2009/05/29 10:23:56"
".\Bugs\Open\analysis says play winner Q over K-BAD PLAY.brd","2009/06/30 22:12:50"
".\Bugs\Open\AnalysisForBiddingNotCompleteNoUnderstandBid.brd","2009/08/13 11:24:20"
".\Bugs\Open\AnalysisSaysPlayWinnerQOverK-BAD PLAY.brd","2009/06/30 22:12:50"
".\Bugs\Open\AssertFailed1.brd","2010/02/04 20:17:52"
".\Bugs\Open\AssertProblem1.brd","2009/05/28 21:19:48"
".\Bugs\Open\AssertProblem2.brd","2009/06/05 10:52:32"
".\Bugs\Open\AssertProblem3.brd","2009/06/29 21:10:30"
".\Bugs\Open\AssertProblem4.brd","2009/08/16 12:53:38"
".\Bugs\Open\AssertProblem5_AutoSave.brd","2009/09/01 14:17:04"
".\Bugs\Open\AssertProblem6_AutoSave.brd","2009/09/12 21:00:56"
".\Bugs\Open\AssertProblem_10_26_09AutoSave_NCR-146.brd","2009/10/26 20:40:06"
".\Bugs\Open\AssertProblem_11_07_09AutoSave_NCR-149.brd","2009/11/07 19:22:10"
".\Bugs\Open\AssertProblem_11_07_09_AutoSave.brd","2009/11/07 10:23:36"
".\Bugs\Open\AssertProblem_11_11_09_NCR-154.brd","2009/11/11 20:01:24"
".\Bugs\Open\AssertProblem_11_13_09AutoSave.brd","2009/11/13 19:56:46"
".\Bugs\Open\AssertProblem_11_13_09_2_AutoSave.brd","2009/11/13 20:16:22"
".\Bugs\Open\AssertProblem_11_14_09AutoSave.brd","2009/11/14 17:57:46"
".\Bugs\Open\AssertProblem_11_15_09AutoSave.brd","2009/11/15 17:12:42"
".\Bugs\Open\AssertProblem_11_16_09AutoSave.brd","2009/11/16 10:58:26"
".\Bugs\Open\AutoSave9-27-09.brd","2009/09/27 21:22:36"
".\Bugs\Open\AutoSaveAbend_7-8-09_EasyToRecreate.brd","2009/07/08 12:42:40"
".\Bugs\Open\BadBidByNorth-2H.brd","2009/05/03 20:11:08"
".\Bugs\Open\BadDefensePlayKoverJ.brd","2009/04/10 16:43:46"
".\Bugs\Open\BadDiscard.brd","2009/04/20 18:04:36"
".\Bugs\Open\BadDucks.brd","2009/04/27 19:38:52"
".\Bugs\Open\BadHintOverBidw5pts.brd","2009/04/19 21:03:26"
".\Bugs\Open\BadLeadFromWestAgainstAQHeartsInDummy.brd","2010/08/31 17:16:50"
".\Bugs\Open\BadQKTrumpPlaybyOpponent2H.brd","2009/04/13 17:06:02"
".\Bugs\Open\BadSuggestion1NTw13nostopinOpbidsuit.brd","2009/04/15 08:31:08"
".\Bugs\Open\BadUnblockingByNorth2.brd","2010/10/17 13:32:14"
".\Bugs\Open\BiddingDisplaysDisagree.brd","2010/10/29 17:46:08"
".\Bugs\Open\Bids1Dwith24HCPs.brd","2009/04/24 13:02:18"
".\Bugs\Open\BidsOneHeartWith23HCPs_NCR-177.brd","2009/12/18 09:43:28"
".\Bugs\Open\CanMake6ClubsWithThis.brd","2010/12/22 19:37:04"
".\Bugs\Open\CanMake6NTwithThis_1_NCR-461.brd","2010/12/20 17:12:32"
".\Bugs\Open\CanMake6NTwithThis_2_NCR-461.brd","2010/12/21 08:56:54"
".\Bugs\Open\CanMake6NTwithThis_NCR-461.brd","2010/12/20 13:37:10"
".\Bugs\Open\CanMake6WithThis.brd","2010/12/10 12:00:44"
".\Bugs\Open\CanMakeThreeWithThis.brd","2010/12/06 13:43:44"
".\Bugs\Open\CanNorthDoMichaelsCueBidAtLowAggression.brd","2009/10/26 22:16:26"
".\Bugs\Open\CanNorthLimitRaiseWith6HCPs.brd","2010/10/24 20:28:56"
".\Bugs\Open\CommentsMessedUpWithManualBidbrd.brd","2010/11/03 15:18:52"
".\Bugs\Open\ComputerCanMakeThisByFinessingSpades.brd","2010/11/08 13:38:16"
".\Bugs\Open\ComputerCanMakeThisByTakingALLWinners.brd","2010/11/25 17:04:42"
".\Bugs\Open\ComputerCanOnlyGoDown1vs4.brd","2010/12/08 15:00:56"
".\Bugs\Open\ComputerDidNotGoToDummyToPlayWinners.brd","2009/08/15 18:27:06"
".\Bugs\Open\ComputerDoesPoorlyPlayingThis.brd","2010/05/11 14:10:24"
".\Bugs\Open\ComputerDown2vsOver1.brd","2009/06/18 21:48:38"
".\Bugs\Open\ComputerDown2vsOver1.png","2009/06/18 21:48:04"
".\Bugs\Open\ComputerDown5WithMakeableContract.brd","2010/12/13 19:00:36"
".\Bugs\Open\ComputerGoesDown.brd","2010/07/03 09:17:40"
".\Bugs\Open\ComputerGoesDown1.brd","2010/10/16 17:40:00"
".\Bugs\Open\ComputerGoesDown1On6NT.brd","2010/08/13 18:02:06"
".\Bugs\Open\ComputerGoesDown1OnMakeableHand.brd","2009/10/15 20:43:08"
".\Bugs\Open\ComputerGoesDown1with5D.brd","2010/11/04 19:46:18"
".\Bugs\Open\ComputerGoesDown2.brd","2009/06/07 11:12:22"
".\Bugs\Open\ComputerGoesDown2WithThis.brd","2010/01/28 20:16:48"
